epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.6979226708602906,0.38952,1.5055441453933716,0.4609,0.001
2,1.5331454553985595,0.4502,1.446812168121338,0.4889,0.001
3,1.4846044687271118,0.46984,1.411555027961731,0.4942,0.001
4,1.4576444919204712,0.4784,1.4101347484588622,0.4949,0.001
5,1.4353735232162474,0.48706,1.384173653793335,0.505,0.001
6,1.4197871989440918,0.49314,1.3656108236312867,0.5099,0.001
7,1.4052268997192383,0.49986,1.3626835983276366,0.5099,0.001
8,1.3964466424942017,0.50166,1.3519252910614015,0.5159,0.001
9,1.3857651944732665,0.50754,1.330318525505066,0.5228,0.001
10,1.3719439638519286,0.50964,1.3276049213409424,0.5236,0.001
11,1.3640069996643067,0.51434,1.3150961824417113,0.531,0.001
12,1.3572443295669556,0.5167,1.3096266510009766,0.5309,0.001
13,1.346369792251587,0.5191,1.3083871271133423,0.5312,0.001
14,1.343442541847229,0.52116,1.3207484275817871,0.5275,0.001
15,1.3391145627212524,0.52458,1.295425799560547,0.5355,0.001
16,1.330300544090271,0.52436,1.3086676374435424,0.5305,0.001
17,1.3205796283340454,0.52982,1.2904626886367798,0.5394,0.001
18,1.3183507456970214,0.53026,1.2979593299865724,0.5405,0.001
19,1.315038642501831,0.53246,1.276421072769165,0.5452,0.001
20,1.3053173494720458,0.53698,1.2957997720718384,0.5356,0.001
