,precision,recall,f1-score,support
airplane,0.9375,0.915,0.9261133603238867,1000.0
automobile,0.9624134520276953,0.973,0.9676777722526106,1000.0
bird,0.9359243697478992,0.891,0.9129098360655737,1000.0
cat,0.8751334044823906,0.82,0.8466701084150748,1000.0
deer,0.9182083739045764,0.943,0.9304390725209669,1000.0
dog,0.8627639155470249,0.899,0.8805093046033301,1000.0
frog,0.9253588516746412,0.967,0.945721271393643,1000.0
horse,0.9663951120162932,0.949,0.9576185671039354,1000.0
ship,0.9451518119490695,0.965,0.9549727857496288,1000.0
truck,0.9493545183714002,0.956,0.9526656701544594,1000.0
accuracy,0.9278,0.9278,0.9278,0.9278
macro avg,0.9278203809720991,0.9277999999999998,0.927529774858311,10000.0
weighted avg,0.927820380972099,0.9278,0.9275297748583111,10000.0
