,precision,recall,f1-score,support
airplane,0.5907335907335908,0.612,0.6011787819253438,1000.0
automobile,0.6764397905759162,0.646,0.6608695652173913,1000.0
bird,0.45276497695852536,0.393,0.4207708779443255,1000.0
cat,0.36715391229578676,0.427,0.3948220064724919,1000.0
deer,0.4722222222222222,0.425,0.4473684210526316,1000.0
dog,0.4375,0.455,0.44607843137254904,1000.0
frog,0.6437054631828979,0.542,0.5884907709011944,1000.0
horse,0.6123809523809524,0.643,0.6273170731707317,1000.0
ship,0.6065012831479898,0.709,0.6537574919317658,1000.0
truck,0.6141248720573184,0.6,0.6069802731411229,1000.0
accuracy,0.5452,0.5452,0.5452,0.5452
macro avg,0.54735270635552,0.5452,0.5447633693129548,10000.0
weighted avg,0.5473527063555199,0.5452,0.5447633693129548,10000.0
